# Wordlist

# DATA
ID	DOCULECT	DOCULECT_IN_SOURCE	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	VALUE	FORM	SOURCE	BVD_ID	COGID	BORROWING	VARIANTS	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	TID	EDITID	SCAID	INFOMAPID	ALIGNMENT
3325	North_Marquesan	Marquesan	nort2845	1209	I	au	au	POLLEX	123645	4			a u	7 7	XZ	AY	4	4.A.V 4.Y.V	1.5 0.8	au	0	23	23	14	15	10	- a u
#
4394	Ra’ivavae	Ra'ivavae	aust1304	1483	Nine	iva	iva	Tamaititahio-1213-2015	291338	945			i v a	7 3 7	XBZ	IBA	6	6.I.V 6.B.C 6.A.V	1.5 1.75 0.8	iva	0	33	33	15	25	13	- i v a
4591	Tuamotuan	Tuamotu	tuam1242	1483	Nine	iva	iva	POLLEX	83557	945			i v a	7 3 7	XBZ	IBA	10	10.I.V 10.B.C 10.A.V	1.5 1.75 0.8	iva	0	33	33	15	25	13	- i v a
724	Maori	Maori	maor1246	1483	Nine	iwa	iwa	Biggs-85-2005	83539	945			i w a	7 6 7	XBZ	IWA	3	3.I.V 3.W.C 3.A.V	1.5 1.75 0.8	iwa	0	33	33	15	25	13	- i w a
5100	Rurutuan	Rurutuan	aust1304	1483	Nine	iva	iva	Meyer-128-2005	165161	945			i v a	7 3 7	XBZ	IBA	7	7.I.V 7.B.C 7.A.V	1.5 1.75 0.8	iva	0	33	33	15	25	13	- i v a
1168	Tahitian	Tahitian (Modern)	tahi1242	1483	Nine	iva	iva	Clark-173-2005	83546	945			i v a	7 3 7	XBZ	IBA	9	9.I.V 9.B.C 9.A.V	1.5 1.75 0.8	iva	0	33	33	15	25	13	- i v a
5613	Hawaiian	Hawaiian	hawa1245	1483	Nine	iwa	iwa	71458	83536	945			i w a	7 6 7	XBZ	IWA	1	1.I.V 1.W.C 1.A.V	1.5 1.75 0.8	iwa	0	33	33	15	25	13	- i w a
1594	Rapanui	Rapanui (Easter Island)	rapa1244	1483	Nine	iva	iva	POLLEX	133562	945		iba	i v a	7 3 7	XBZ	IBA	5	5.I.V 5.B.C 5.A.V	1.5 1.75 0.8	iva	0	33	33	15	25	13	- i v a
1852	Mangareva	Mangareva	mang1401	1483	Nine	iva	iva	POLLEX	321428	945			i v a	7 3 7	XBZ	IBA	2	2.I.V 2.B.C 2.A.V	1.5 1.75 0.8	iva	0	33	33	15	25	13	- i v a
3075	Sikaiana	Sikaiana	sika1261	1483	Nine	sivo	sivo	POLLEX	83554	945			s i v o	3 7 3 7	AXBZ	SIBU	8	8.S.C 8.I.V 8.B.C 8.U.V	2.0 1.5 1.75 0.8	sivo	0	40	40	15	25	13	s i v o
3296	North_Marquesan	Marquesan	nort2845	1483	Nine	iva	iva	POLLEX	83535	945			i v a	7 3 7	XBZ	IBA	4	4.I.V 4.B.C 4.A.V	1.5 1.75 0.8	iva	0	33	33	15	25	13	- i v a
#
4402	Ra’ivavae	Ra'ivavae	aust1304	1493	One	hoʔe	hoʔe	Tamaititahio-1213-2015	291330	373			h o ʔ e	3 7 1 7	AXBZ	HUHE	6	6.H.C 6.U.V 6.H.C 6.E.V	2.0 1.5 1.75 0.8	hoʔe	0	46	46	21	26	15	h o ʔ e
4599	Tuamotuan	Tuamotu	tuam1242	1493	One	tahi	tahi	POLLEX	70218	335			t a h i	1 7 3 7	AXBZ	TAHI	10	10.T.C 10.A.V 10.H.C 10.I.V	2.0 1.5 1.75 0.8	tahi	0	42	42	16	26	14	- - t a h i
732	Maori	Maori	maor1246	1493	One	tahi	tahi	Biggs-85-2005	70057	335			t a h i	1 7 3 7	AXBZ	TAHI	3	3.T.C 3.A.V 3.H.C 3.I.V	2.0 1.5 1.75 0.8	tahi	0	42	42	16	26	14	- - t a h i
5109	Rurutuan	Rurutuan	aust1304	1493	One	taʔi	taʔi	Meyer-128-2005	70100	335			t a ʔ i	1 7 1 7	AXBZ	TAHI	7	7.T.C 7.A.V 7.H.C 7.I.V	2.0 1.5 1.75 0.8	taʔi	0	42	42	16	26	14	- - t a ʔ i
1177	Tahitian	Tahitian (Modern)	tahi1242	1493	One	ho'e	ho'e	Clark-173-2005	291471	373		hoo'ee	h o ʔ e	3 7 1 7	AXBZ	HUHE	9	9.H.C 9.U.V 9.H.C 9.E.V	2.0 1.5 1.75 0.8	hoʔe	0	46	46	21	26	15	h o ʔ e
1178	Tahitian	Tahitian (Modern)	tahi1242	1493	One	tahi	tahi	Clark-173-2005	82829	335			t a h i	1 7 3 7	AXBZ	TAHI	9	9.T.C 9.A.V 9.H.C 9.I.V	2.0 1.5 1.75 0.8	tahi	0	42	42	16	26	14	- - t a h i
