# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	PARTIAL	PARTIAL_IDS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS	ALIGNMENT	STRUCTURE	PATTERNS
46	Mazhelong	bird	ʦo₄₄	ts o ⁴⁴	203	a	30	15 887 1178	937	sout2730	2 7 8	AXT	CU5	7	7.C.C 7.U.V 7.5.T	1.6 3.0 1.0	0	44	ts o - ⁴⁴	c v t	132-5/ts 0/n 152-4/w 0/n
47	Dashi	bird	ʦow₃₃	ts o w ³³	203	a	30	15 887 462 1161	937	cent2004	2 7 6 8	AXLT	CUW4	1	1.C.C 1.U.V 1.W.c 1.4.T	1.6 3.0 1.1 1.0	0	44	ts o w ³³	c v c t	132-5/ts 0/n 152-4/w 0/n
48	Zhoucheng	bird	ʦow₄₄	ts o w ⁴⁴	203	a	30	15 887 462 1178	937	sout2730	2 7 6 8	AXLT	CUW5	9	9.C.C 9.U.V 9.W.c 9.5.T	1.6 3.0 1.1 1.0	0	44	ts o w ⁴⁴	c v c t	132-5/ts 0/n 152-4/w 0/n
49	Jinxing	bird	ʦow₄₄	ts o w ⁴⁴	203	a	30	15 887 462 1178	937	cent2004	2 7 6 8	AXLT	CUW5	6	6.C.C 6.U.V 6.W.c 6.5.T	1.6 3.0 1.1 1.0	0	44	ts o w ⁴⁴	c v c t	132-5/ts 0/n 152-4/w 0/n
50	Tuolo	bird	ʦu₄₂	ts u ⁴²	203	a	30	15 868 1175	937	nort2724	2 7 8	AXT	CY3	8	8.C.C 8.Y.V 8.3.T	1.6 3.0 1.0	0	44	ts u - ⁴²	c v t	132-5/ts 0/n 152-4/w 0/n
51	Enqi	bird	ʦu₅₅	ts u ⁵⁵	203	a	30	15 868 1189	937	nort2724	2 7 8	AXT	CY5	3	3.C.C 3.Y.V 3.5.T	1.6 3.0 1.0	0	44	ts u - ⁵⁵	c v t	132-5/ts 0/n 152-4/w 0/n
52	Ega	bird	ʦu₄₄	ts u ⁴⁴	203	a	30	15 868 1178	937	nort2724	2 7 8	AXT	CY5	2	2.C.C 2.Y.V 2.5.T	1.6 3.0 1.0	0	44	ts u - ⁴⁴	c v t	132-5/ts 0/n 152-4/w 0/n
#
53	Gongxing	bite	ŋa₂₄	ŋ a ²⁴	214	a	31	801 997 1156	1403	nort2724	4 7 8	AXT	NA2	4	4.N.C 4.A.V 4.2.T	1.6 3.0 1.0	0	46	ŋ a ²⁴	c v t	68-5/ŋ 0/n 0/n
54	Jinman	bite	ŋa₄₄	ŋ a ⁴⁴	214	a	31	801 997 1178	1403	nort2724	4 7 8	AXT	NA5	5	5.N.C 5.A.V 5.5.T	1.6 3.0 1.0	0	46	ŋ a ⁴⁴	c v t	68-5/ŋ 0/n 0/n
55	Mazhelong	bite	ŋɑ₄₄	ŋ ɑ ⁴⁴	214	a	31	801 952 1178	1403	sout2730	4 7 8	AXT	NA5	7	7.N.C 7.A.V 7.5.T	1.6 3.0 1.0	0	46	ŋ ɑ ⁴⁴	c v t	68-5/ŋ 0/n 0/n
56	Dashi	bite	ɣaŋ₄₄	ɣ a ŋ ⁴⁴	214	a	31	780 997 801 1178	1403	cent2004	3 7 4 8	AXLT	GAN5	1	1.G.C 1.A.V 1.N.c 1.5.T	1.6 3.0 1.1 1.0	0	45	ɣ a ŋ ⁴⁴	c v c t	0/n 0/n 0/n 0/n
57	Zhoucheng	bite	ŋa₄₄	ŋ a ⁴⁴	214	a	31	801 997 1178	1403	sout2730	4 7 8	AXT	NA5	9	9.N.C 9.A.V 9.5.T	1.6 3.0 1.0	0	46	ŋ a ⁴⁴	c v t	68-5/ŋ 0/n 0/n
58	Jinxing	bite	ɑ̃₄₄	ɑ̃ ⁴⁴	214	a	31	951 1178	1403	cent2004	7 8	XT	A5	6	6.A.V 6.5.T	3.0 1.0	0	50	ɑ̃ ⁴⁴	v t	0/n 0/n
